,Fine,On Fire,Burned Out,Escaped the Fire,Escaped Tax
0,6373,4,0,0,0
1,6360,6,8,3,3
2,6334,16,24,3,0
3,6281,25,63,8,8
4,6211,38,114,14,6
5,6121,54,188,14,8
6,6007,66,289,15,7
7,5871,76,410,20,13
8,5693,89,570,25,12
9,5457,134,762,24,12
10,5211,132,1005,29,17
11,4965,125,1253,34,17
12,4667,167,1500,43,26
13,4357,181,1802,37,11
14,4001,198,2136,42,31
15,3643,186,2496,52,21
16,3305,184,2832,56,35
17,2944,213,3171,49,14
18,2545,216,3550,66,52
19,2165,231,3925,56,4
20,1716,229,4371,61,57
21,1320,244,4758,55,-2
22,944,203,5179,51,53
23,655,148,5508,66,13
24,452,121,5741,63,50
25,292,94,5945,46,-4
26,193,49,6090,45,49
27,145,20,6166,46,-3
28,112,18,6204,43,46
29,85,14,6233,45,-1
30,64,14,6257,42,43
31,48,11,6277,41,-2
32,36,9,6293,39,41
33,34,0,6305,38,-3
