,RunId,iteration,Step,density,width,height,intensity,Fine,On Fire,Burned Out,Escaped the Fire,Escaped Tax
0,0,0,0,0.0,100,100,1,0,0,0,0,0
1,1,0,0,0.0,100,100,31,0,0,0,0,0
2,2,0,0,0.0,100,100,21,0,0,0,0,0
3,3,0,0,0.0,100,100,11,0,0,0,0,0
4,4,0,0,0.0,100,100,41,0,0,0,0,0
5,5,0,0,0.0,100,100,51,0,0,0,0,0
6,6,0,0,0.0,100,100,61,0,0,0,0,0
7,7,0,0,0.0,100,100,91,0,0,0,0,0
8,8,0,0,0.0,100,100,81,0,0,0,0,0
9,9,0,0,0.0,100,100,71,0,0,0,0,0
10,10,0,0,0.1,100,100,1,752,244,0,0,0
11,11,0,0,0.1,100,100,11,762,247,0,0,0
12,12,0,0,0.1,100,100,21,795,250,0,0,0
13,13,0,0,0.1,100,100,41,766,248,0,0,0
14,14,0,1,0.1,100,100,51,763,1,237,0,0
15,15,0,1,0.1,100,100,61,773,1,231,1,1
16,16,0,1,0.1,100,100,71,747,1,248,0,0
17,17,0,0,0.1,100,100,81,752,222,0,0,0
18,18,0,1,0.1,100,100,31,701,2,242,2,2
19,19,0,1,0.1,100,100,91,752,1,253,1,1
20,20,0,0,0.2,100,100,11,1493,491,0,0,0
21,21,0,0,0.2,100,100,1,1526,456,0,0,0
22,22,0,0,0.2,100,100,31,1488,495,0,0,0
23,23,0,1,0.2,100,100,51,1560,4,454,4,4
24,24,0,2,0.2,100,100,61,1449,1,484,4,2
25,25,0,1,0.2,100,100,71,1513,5,487,4,4
26,26,0,1,0.2,100,100,21,1470,1,487,9,9
27,27,0,1,0.2,100,100,41,1487,2,473,3,3
28,28,0,0,0.3,100,100,1,2274,707,0,0,0
29,29,0,3,0.2,100,100,91,1525,1,527,2,2
30,30,0,3,0.2,100,100,81,1500,3,523,4,3
31,31,0,1,0.3,100,100,11,2239,1,725,16,16
32,32,0,1,0.3,100,100,41,2183,3,727,11,11
33,33,0,2,0.3,100,100,31,2253,1,741,11,1
34,34,0,1,0.3,100,100,21,2274,3,707,14,14
35,35,0,3,0.3,100,100,51,2266,3,758,8,9
36,36,0,4,0.3,100,100,71,2241,1,752,10,5
37,37,0,2,0.3,100,100,61,2262,2,706,9,1
38,38,0,0,0.4,100,100,11,3049,935,0,0,0
39,39,0,5,0.3,100,100,91,2169,1,838,3,1
40,40,0,0,0.4,100,100,1,3017,954,0,0,0
41,41,0,2,0.4,100,100,21,3042,2,970,23,3
42,42,0,7,0.3,100,100,81,2252,3,821,5,4
43,43,0,3,0.4,100,100,41,2972,3,1010,36,31
44,44,0,7,0.4,100,100,31,2952,2,983,24,18
45,45,0,0,0.5,100,100,1,3820,1169,0,0,0
46,46,0,7,0.4,100,100,51,2883,1,1070,29,24
47,47,0,6,0.4,100,100,61,2920,1,1065,19,3
48,48,0,2,0.5,100,100,11,3716,1,1241,60,14
49,49,0,6,0.4,100,100,81,2979,3,1115,11,6
50,50,0,2,0.5,100,100,21,3715,3,1212,40,6
51,51,0,18,0.4,100,100,71,2739,1,1242,23,11
52,52,0,5,0.5,100,100,41,3682,1,1307,59,44
53,53,0,6,0.5,100,100,31,3666,1,1320,64,14
54,54,0,0,0.6,100,100,1,4512,1442,0,0,0
55,55,0,30,0.4,100,100,91,2356,1,1639,11,6
56,56,0,16,0.5,100,100,61,3435,2,1455,55,24
57,57,0,2,0.6,100,100,11,4568,1,1459,66,8
58,58,0,2,0.6,100,100,21,4464,2,1490,61,8
59,59,0,23,0.5,100,100,51,3464,3,1465,72,47
60,60,0,8,0.6,100,100,31,4252,1,1566,92,32
61,61,0,32,0.5,100,100,91,120,1,4841,40,-5
62,62,0,19,0.6,100,100,41,4172,3,1727,100,73
63,63,0,0,0.7,100,100,1,5326,1708,0,0,0
64,64,0,53,0.5,100,100,71,1122,3,3770,151,79
65,65,0,3,0.7,100,100,11,5190,2,1686,81,74
66,66,0,3,0.7,100,100,21,5125,2,1740,87,81
67,67,0,37,0.6,100,100,81,88,5,5804,35,29
68,68,0,47,0.6,100,100,71,136,1,5616,116,110
69,69,0,9,0.7,100,100,31,4972,1,1913,122,94
70,70,0,29,0.6,100,100,91,9,2,5917,10,-5
71,71,0,61,0.6,100,100,61,295,1,5418,272,157
72,72,0,100,0.5,100,100,81,653,6,4230,97,60
73,73,0,76,0.6,100,100,51,2530,2,3252,288,129
74,74,0,0,0.8,100,100,1,6110,1904,0,0,0
75,75,0,2,0.8,100,100,11,5965,3,1937,99,17
76,76,0,27,0.7,100,100,81,8,2,7000,15,-1
77,77,0,33,0.7,100,100,71,6,2,6937,42,32
78,78,0,7,0.8,100,100,21,5906,1,1988,107,77
79,79,0,40,0.7,100,100,61,33,1,6774,135,31
80,80,0,24,0.7,100,100,91,2,1,7042,2,-9
81,81,0,64,0.7,100,100,41,2672,2,3925,498,233
82,82,0,19,0.8,100,100,81,0,1,7964,1,15
83,83,0,27,0.8,100,100,31,5118,1,2550,305,168
84,84,0,29,0.8,100,100,61,4,4,7989,43,9
85,85,0,0,0.9,100,100,1,6824,2159,0,0,0
86,86,0,79,0.7,100,100,51,167,3,6510,350,171
87,87,0,23,0.8,100,100,71,1,4,8049,14,-39
88,88,0,35,0.8,100,100,51,8,1,7854,175,63
